# nkpt: 10 neig: 7
# E(LDA) E(GW)
-16.681 -16.780
-12.191 -8.582
-11.874 -8.102
-11.874 -8.102
-10.591 -6.586
-10.591 -6.586
7.960 9.162
-14.590 -13.951
-12.380 -9.451
-11.869 -8.463
-11.550 -7.789
-10.643 -6.682
-9.239 -5.402
2.843 3.703
-14.253 -12.045
-12.316 -8.842
-11.757 -8.185
-10.882 -8.075
-9.254 -5.299
-6.957 -4.888
-3.447 -1.936
-15.427 -15.499
-12.664 -9.226
-11.661 -7.963
-11.454 -7.662
-10.763 -7.045
-10.119 -5.998
6.239 6.996
-14.039 -12.524
-13.328 -10.163
-11.576 -8.869
-10.643 -6.733
-9.471 -6.331
-9.223 -5.163
3.118 3.526
-13.482 -10.593
-13.056 -10.186
-11.871 -8.990
-10.464 -6.796
-9.230 -4.911
-4.009 -2.693
-2.004 -1.361
-13.640 -11.568
-12.547 -9.481
-12.341 -9.475
-11.016 -7.313
-9.798 -5.725
-7.373 -4.705
-0.058 0.698
-14.119 -11.487
-13.786 -10.650
-10.191 -7.086
-9.791 -5.629
-9.085 -4.773
-6.119 -4.696
-0.597 -0.224
-14.669 -12.939
-11.968 -9.773
-11.968 -8.280
-10.561 -8.279
-9.660 -5.417
-9.660 -5.416
-0.722 0.522
-13.515 -10.822
-12.641 -9.921
-11.822 -9.190
-11.057 -7.327
-9.712 -5.624
-5.304 -3.825
-2.187 -0.926
